actor1,actor2,weight
David Harbour,Stephen Curry,1
Nick Kroll,Stephen Curry,1
Jenifer Lewis,Stephen Curry,1
Aaron Pierre,Nicola Coughlan,1
Aaron Pierre,David Harbour,1
Aaron Pierre,Nick Kroll,1
Aaron Pierre,Jenifer Lewis,1
David Harbour,Nicola Coughlan,1
Nick Kroll,Nicola Coughlan,1
Jenifer Lewis,Nicola Coughlan,1
David Harbour,Nick Kroll,1
David Harbour,Jenifer Lewis,1
Jenifer Lewis,Nick Kroll,1
Courteney Cox,Neve Campbell,1
Isabel May,Neve Campbell,1
Jasmin Savoy Brown,Neve Campbell,1
Mason Gooding,Neve Campbell,1
Neve Campbell,Roger L. Jackson,1
Anna Camp,Neve Campbell,1
Joel McHale,Neve Campbell,1
Courteney Cox,Isabel May,1
Courteney Cox,Jasmin Savoy Brown,2
Courteney Cox,Mason Gooding,2
Courteney Cox,Roger L. Jackson,1
Anna Camp,Courteney Cox,1
Courteney Cox,Joel McHale,1
Isabel May,Jasmin Savoy Brown,1
Isabel May,Mason Gooding,1
Isabel May,Roger L. Jackson,1
Anna Camp,Isabel May,1
Isabel May,Joel McHale,1
Jasmin Savoy Brown,Mason Gooding,3
Jasmin Savoy Brown,Roger L. Jackson,2
Anna Camp,Jasmin Savoy Brown,1
Jasmin Savoy Brown,Joel McHale,1
Mason Gooding,Roger L. Jackson,2
Anna Camp,Mason Gooding,1
Joel McHale,Mason Gooding,1
Anna Camp,Roger L. Jackson,1
Joel McHale,Roger L. Jackson,1
Anna Camp,Joel McHale,1
Natsuki Hanae,Takahiro Sakurai,1
Akira Ishida,Natsuki Hanae,1
Hiro Shimono,Natsuki Hanae,1
Natsuki Hanae,Yoshimasa Hosoya,1
Natsuki Hanae,Saori Hayami,1
Mamoru Miyano,Natsuki Hanae,1
Natsuki Hanae,Reina Ueda,2
Akira Ishida,Takahiro Sakurai,1
Hiro Shimono,Takahiro Sakurai,1
Takahiro Sakurai,Yoshimasa Hosoya,1
Saori Hayami,Takahiro Sakurai,1
Mamoru Miyano,Takahiro Sakurai,1
Reina Ueda,Takahiro Sakurai,1
Akira Ishida,Hiro Shimono,1
Akira Ishida,Yoshimasa Hosoya,1
Akira Ishida,Saori Hayami,1
Akira Ishida,Mamoru Miyano,1
Akira Ishida,Reina Ueda,1
Hiro Shimono,Yoshimasa Hosoya,1
Hiro Shimono,Saori Hayami,1
Hiro Shimono,Mamoru Miyano,1
Hiro Shimono,Reina Ueda,1
Saori Hayami,Yoshimasa Hosoya,1
Mamoru Miyano,Yoshimasa Hosoya,1
Reina Ueda,Yoshimasa Hosoya,1
Mamoru Miyano,Saori Hayami,1
Reina Ueda,Saori Hayami,1
Mamoru Miyano,Reina Ueda,1
Alan Ritchson,Dennis Quaid,1
Alan Ritchson,Stephan James,1
Alan Ritchson,Jai Courtney,1
Alan Ritchson,Esai Morales,1
Alan Ritchson,Blake Richardson,1
Alan Ritchson,Keiynan Lonsdale,1
Alan Ritchson,Jack Patten,1
Dennis Quaid,Stephan James,1
Dennis Quaid,Jai Courtney,1
Dennis Quaid,Esai Morales,1
Blake Richardson,Dennis Quaid,1
Dennis Quaid,Keiynan Lonsdale,1
Dennis Quaid,Jack Patten,1
Jai Courtney,Stephan James,1
Esai Morales,Stephan James,1
Blake Richardson,Stephan James,1
Keiynan Lonsdale,Stephan James,1
Jack Patten,Stephan James,1
Esai Morales,Jai Courtney,1
Blake Richardson,Jai Courtney,1
Jai Courtney,Keiynan Lonsdale,1
Jack Patten,Jai Courtney,1
Blake Richardson,Esai Morales,1
Esai Morales,Keiynan Lonsdale,1
Esai Morales,Jack Patten,1
Blake Richardson,Keiynan Lonsdale,1
Blake Richardson,Jack Patten,1
Jack Patten,Keiynan Lonsdale,1
Cecilia Choi,Tony Yang,1
Derek Chang,Tony Yang,1
Tony Yang,Tracy Chou,1
Puff Kuo,Tony Yang,1
Chen Wei-min,Tony Yang,1
Li Kuan-yi,Tony Yang,1
Mountain Kao,Tony Yang,1
Cecilia Choi,Derek Chang,1
Cecilia Choi,Tracy Chou,1
Cecilia Choi,Puff Kuo,1
Cecilia Choi,Chen Wei-min,1
Cecilia Choi,Li Kuan-yi,1
Cecilia Choi,Mountain Kao,1
Derek Chang,Tracy Chou,1
